GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seminar4,default,Model,0,23,0,0,0,10,0,5,0,5
seminar4,default,AverageModel,0,39,0,4,0,14,0,4,0,2
